Header,seconds,nanoseconds,Latitude,Longitude,UTM Easting,UTM Northing,Zone,Letter
1,58208,124938208,42.3377961666667,-71.0897941666667,327842.964829633,4689397.4762476,19,T
2,58209,124850209,42.337796,-71.0897941666667,327842.964374802,4689397.45774054,19,T
3,58210,123930210,42.3377956666667,-71.0897941666667,327842.96346514,4689397.42072641,19,T
4,58211,123799211,42.3377956666667,-71.0897938333333,327842.990926258,4689397.42005152,19,T
5,58212,123066212,42.3377956666667,-71.0897928333333,327843.073309609,4689397.41802686,19,T
6,58213,123439213,42.3377958333333,-71.0897921666667,327843.128686672,4689397.43518416,19,T
7,58214,125315214,42.3377961666667,-71.0897921666667,327843.129596333,4689397.47219829,19,T
8,58215,123123215,42.3377961666667,-71.0897918333333,327843.157057449,4689397.4715234,19,T
9,58216,123148216,42.3377966666667,-71.089791,327843.227074733,4689397.52535739,19,T
10,58217,123806217,42.3377951666667,-71.0897911666667,327843.209250702,4689397.35913124,19,T
11,58218,123159218,42.3377941666667,-71.089791,327843.220252278,4689397.2477514,19,T
12,58219,123315219,42.3377946666667,-71.0897911666667,327843.207886211,4689397.30361004,19,T
13,58220,123202220,42.3377955,-71.0897901666667,327843.292543714,4689397.39412071,19,T
14,58221,123190221,42.3377965,-71.089789,327843.391386602,4689397.50280101,19,T
15,58222,123237222,42.3377971666667,-71.0897883333333,327843.448128155,4689397.5754795,19,T
16,58223,123121223,42.3377978333333,-71.0897875,327843.518600262,4689397.64782056,19,T
17,58224,123205224,42.3377983333333,-71.0897875,327843.519964751,4689397.70334175,19,T
18,58225,123149225,42.3377985,-71.0897875,327843.52041958,4689397.72184882,19,T
19,58226,124899226,42.337799,-71.0897878333333,327843.494322954,4689397.7780449,19,T
20,58227,124948227,42.3377998333333,-71.0897873333333,327843.537788774,4689397.8695679,19,T
21,58228,123168228,42.3378008333333,-71.0897866666667,327843.595439981,4689397.97926053,19,T
22,58229,124898229,42.3378015,-71.0897861666667,327843.63845097,4689398.05227646,19,T
23,58230,123621230,42.3378016666667,-71.0897858333333,327843.666366915,4689398.07010865,19,T
24,58231,123158231,42.3378021666667,-71.0897851666667,327843.722653629,4689398.12428008,19,T
25,58232,123178232,42.3378028333333,-71.0897851666667,327843.724472946,4689398.19830834,19,T
26,58233,123233233,42.3378036666667,-71.0897853333333,327843.713016535,4689398.29118111,19,T
27,58234,123180234,42.3378041666667,-71.0897858333333,327843.673189353,4689398.34771463,19,T
28,58235,123269235,42.3378048333333,-71.089786,327843.661278114,4689398.42208034,19,T
29,58236,123250236,42.3378055,-71.0897861666667,327843.649366873,4689398.49644604,19,T
30,58237,123720237,42.3378048333333,-71.0897856666667,327843.688739226,4689398.42140546,19,T
31,58238,123784238,42.337803,-71.0897833333333,327843.875963901,4689398.21310355,19,T
32,58239,123146239,42.3377998333333,-71.0897753333333,327844.526388916,4689397.84527214,19,T
33,58240,123127240,42.337792,-71.089765,327845.356306726,4689396.95451882,19,T
34,58241,123181241,42.3377828333333,-71.089757,327845.990358314,4689395.92043319,19,T
35,58242,123931242,42.3377706666667,-71.0897493333333,327846.588762193,4689394.55389532,19,T
36,58243,123156243,42.3377573333333,-71.0897418333333,327847.170252022,4689393.05814548,19,T
37,58244,123959244,42.3377441666667,-71.089734,327847.77965808,4689391.5802279,19,T
38,58245,123188245,42.3377286666667,-71.089726,327848.396427571,4689389.84287403,19,T
39,58246,123188246,42.3377106666667,-71.0897186666667,327848.951452885,4689387.82926398,19,T
40,58247,123177247,42.3376933333333,-71.0897115,327849.494567229,4689385.89001967,19,T
41,58248,123206248,42.33768,-71.0897046666667,327850.021136195,4689384.39561985,19,T
42,58249,123194249,42.3376703333333,-71.0897016666667,327850.241907732,4689383.31613635,19,T
43,58250,123255250,42.3376636666667,-71.0896998333333,327850.374751804,4689382.57214203,19,T
44,58251,123464251,42.3376588333333,-71.089698,327850.512598807,4689382.03172544,19,T
45,58252,123331252,42.337654,-71.0896955,327850.70536819,4689381.48995914,19,T
