Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
1,58207,938076207,0.006255852,-0.008038088,0.996857452,0.078558724,-0.151,0.158,-9.553,0.000239,0.00162,-0.000565,-0.000016,-0.00000581,0.0000201,-0.862,-0.787,170.994
2,58207,963092207,0.006283704,-0.008038771,0.996874373,0.078341423,-0.187,0.141,-9.563,0.000569,0.000327,-0.000569,-0.00001605,-0.00000586,0.00002016,-0.862,-0.79,171.019
3,58207,988671207,0.006303398,-0.008030172,0.996890016,0.078141403,-0.2,0.129,-9.614,0.000537,0.000818,-0.000545,-0.00001604,-0.00000555,0.00001987,-0.861,-0.792,171.042
4,58208,13169208,0.006331249,-0.008030834,0.996906844,0.077924095,-0.165,0.13,-9.525,0.000099,0.001386,0.000323,-0.00001604,-0.00000571,0.00002049,-0.861,-0.795,171.067
5,58208,38099208,0.006335105,-0.008003298,0.996924709,0.077697736,-0.165,0.126,-9.537,-0.00024,-0.001645,0.001329,-0.00001605,-0.00000606,0.00002072,-0.858,-0.795,171.093
6,58208,63099208,0.006320385,-0.007983496,0.996937848,0.077532208,-0.136,0.118,-9.547,0.000779,0.000805,-0.000031,-0.00001595,-0.00000601,0.00002044,-0.856,-0.793,171.112
7,58208,88103208,0.006321291,-0.007982779,0.996946638,0.077419108,-0.141,0.15,-9.546,-0.000458,0.002019,0.000709,-0.00001609,-0.00000591,0.00002106,-0.856,-0.793,171.125
8,58208,113447208,0.006304448,-0.007980989,0.99695217,0.077349387,-0.108,0.152,-9.54,-0.000529,0.001269,0.001406,-0.00001595,-0.00000652,0.00002113,-0.856,-0.791,171.133
9,58208,138121208,0.006303913,-0.007989579,0.996953451,0.077332042,-0.114,0.145,-9.576,0.00001,0.002282,-0.000742,-0.00001595,-0.00000636,0.00002051,-0.857,-0.791,171.135
10,58208,163301208,0.006294492,-0.008005811,0.996959447,0.077253791,-0.108,0.183,-9.527,-0.000538,0.000711,0.000369,-0.00001595,-0.00000581,0.00002106,-0.859,-0.79,171.144
11,58208,188181208,0.0062844,-0.008030745,0.996965366,0.077175594,-0.119,0.146,-9.51,0.000074,-0.004821,-0.000337,-0.00001595,-0.00000652,0.00002118,-0.862,-0.789,171.153
12,58208,213094208,0.006292204,-0.008056639,0.996975857,0.077036616,-0.136,0.158,-9.501,0.000272,0.000107,-0.000314,-0.0000159,-0.00000642,0.00002102,-0.865,-0.79,171.169
13,58208,238085208,0.006284277,-0.008055365,0.996983312,0.076940852,-0.158,0.179,-9.512,0.000994,0.007574,-0.000564,-0.00001595,-0.00000611,0.0000205,-0.865,-0.789,171.18
14,58208,263119208,0.006283146,-0.008072601,0.996985185,0.07691486,-0.122,0.124,-9.566,-0.000707,0.000113,-0.000667,-0.000016,-0.00000641,0.00002129,-0.867,-0.789,171.183
15,58208,288213208,0.006326541,-0.008084211,0.996990156,0.076845619,-0.17,0.151,-9.556,0.000027,0.001877,0.000204,-0.000016,-0.00000606,0.00002106,-0.868,-0.794,171.191
16,58208,313216208,0.006336969,-0.008075351,0.997000212,0.076715118,-0.188,0.15,-9.549,0.001518,0.000034,0.000348,-0.00001595,-0.00000652,0.00002034,-0.867,-0.795,171.206
17,58208,338162208,0.006372617,-0.008077358,0.997007978,0.076610957,-0.156,0.154,-9.556,0.001472,0.000066,-0.000517,-0.0000159,-0.00000606,0.0000205,-0.867,-0.799,171.218
18,58208,363142208,0.006382514,-0.008060736,0.997006715,0.076628308,-0.153,0.137,-9.554,0.000415,0.000143,0.000134,-0.00001595,-0.00000611,0.00002045,-0.865,-0.8,171.216
19,58208,388159208,0.006383886,-0.008051478,0.997013469,0.076541247,-0.152,0.111,-9.52,-0.000487,0.000484,-0.000222,-0.0000159,-0.00000642,0.00002096,-0.864,-0.8,171.226
20,58208,413145208,0.006377222,-0.008032854,0.997020351,0.076454068,-0.107,0.143,-9.553,0.001277,0.00566,-0.001657,-0.00001595,-0.00000601,0.00002028,-0.862,-0.799,171.236
21,58208,438138208,0.006387114,-0.008032572,0.997031616,0.076306217,-0.129,0.127,-9.57,-0.000667,-0.001672,0.000783,-0.0000159,-0.00000621,0.00002051,-0.862,-0.8,171.253
22,58208,463122208,0.006378694,-0.008031685,0.997034345,0.076271353,-0.14,0.116,-9.562,0.000096,0.000159,-0.001183,-0.00001595,-0.00000616,0.00002107,-0.862,-0.799,171.257
23,58208,488123208,0.006369923,-0.008031076,0.997033745,0.076279993,-0.112,0.136,-9.55,-0.00117,0.001587,-0.000301,-0.00001581,-0.00000642,0.00002063,-0.862,-0.798,171.256
24,58208,513153208,0.006370974,-0.008030242,0.997043721,0.076149481,-0.123,0.124,-9.493,-0.000527,-0.003347,0.001039,-0.0000159,-0.00000647,0.0000204,-0.862,-0.798,171.271
25,58208,538187208,0.006371011,-0.008038387,0.997050293,0.076062528,-0.13,0.13,-9.548,-0.002045,0.001077,0.000576,-0.0000159,-0.00000611,0.00002034,-0.863,-0.798,171.281
26,58208,563192208,0.006370527,-0.008055121,0.997058112,0.075958228,-0.123,0.156,-9.512,-0.000784,0.000227,0.000233,-0.0000159,-0.00000631,0.00002107,-0.865,-0.798,171.293
27,58208,588184208,0.006386604,-0.008073847,0.99705784,0.075958462,-0.142,0.149,-9.504,-0.001218,-0.002209,0.000527,-0.00001605,-0.00000646,0.00002112,-0.867,-0.8,171.293
