Header,seconds,nanoseconds,Latitude,Longitude,UTM Easting,UTM Northing,Zone,Letter
1,58427,123130427,42.3374678333333,-71.0896801666667,327851.460566244,4689360.7865244,19,T
2,58428,123450428,42.3374835,-71.0896876666667,327850.885439569,4689362.5413726,19,T
3,58429,123140429,42.3375063333333,-71.0896981666667,327850.082718725,4689365.09809835,19,T
4,58430,123213430,42.337534,-71.089712,327849.018575716,4689368.19827768,19,T
5,58431,123228431,42.3375645,-71.0897285,327847.742475846,4689371.61847624,19,T
6,58432,123367432,42.3375983333333,-71.0897446666667,327846.502934912,4689375.40814151,19,T
7,58433,123100433,42.3376338333333,-71.0897598333333,327845.350327255,4689379.3808531,19,T
8,58434,123191434,42.33767,-71.0897751666667,327844.185809783,4689383.42793063,19,T
9,58435,123220435,42.3377065,-71.0897908333333,327842.994742335,4689387.51269744,19,T
10,58436,123145436,42.3377383333333,-71.0898108333333,327841.433946276,4689391.08804026,19,T
11,58437,123269437,42.3377755,-71.089825,327840.368276474,4689395.2437989,19,T
12,58438,123146438,42.3378128333333,-71.0898366666667,327839.509021282,4689399.41300308,19,T
13,58439,123137439,42.337846,-71.0898516666667,327838.363785272,4689403.12627981,19,T
14,58440,123261440,42.3378841666667,-71.0898596666667,327837.808878691,4689407.38059568,19,T
15,58441,123203441,42.3379243333333,-71.089867,327837.314353285,4689411.85564661,19,T
16,58442,123137442,42.3379656666667,-71.0898735,327836.891665291,4689416.45855981,19,T
17,58443,123146443,42.3380071666667,-71.0898796666667,327836.496893963,4689421.07930524,19,T
18,58444,123222444,42.3380415,-71.0898966666667,327835.190081889,4689424.92618172,19,T
19,58445,123244445,42.338079,-71.0899085,327834.317559132,4689429.11423144,19,T
20,58446,123287446,42.3381076666667,-71.0899313333333,327832.514717583,4689432.34367946,19,T
21,58447,123202447,42.3381448333333,-71.0899366666667,327832.176776764,4689436.48155428,19,T
22,58448,125423448,42.3381815,-71.0899568333333,327830.615459702,4689440.59394267,19,T
23,58449,123218449,42.338221,-71.0899683333333,327829.77586174,4689445.00340306,19,T
24,58450,123117450,42.3382586666667,-71.089984,327828.58799997,4689449.21772272,19,T
25,58451,123398451,42.3382918333333,-71.0899991666667,327827.429049405,4689452.9313394,19,T
26,58452,123270452,42.3383203333333,-71.0900191666667,327825.859180587,4689456.13654534,19,T
27,58453,123251453,42.3383478333333,-71.0900405,327824.176740459,4689459.23340917,19,T
28,58454,123174454,42.3383728333333,-71.0900618333333,327822.487478486,4689462.05266743,19,T
29,58455,123136455,42.3383833333333,-71.090096,327819.701398552,4689463.28779812,19,T
30,58456,123121456,42.3383966666667,-71.0901268333333,327817.197661571,4689464.83080014,19,T
31,58457,123190457,42.338414,-71.0901511666667,327815.240330179,4689466.80481014,19,T
32,58458,123204458,42.338432,-71.0901685,327813.861497227,4689468.83867379,19,T
33,58459,123166459,42.3384506666667,-71.0901783333333,327813.102353518,4689470.93137821,19,T
34,58460,123262460,42.3384586666667,-71.0901915,327812.039486969,4689471.84638053,19,T
35,58461,123259461,42.3384693333333,-71.0901946666667,327811.807724238,4689473.03724555,19,T
36,58462,124956462,42.3384778333333,-71.0902003333333,327811.364091428,4689473.99258133,19,T
37,58463,123202463,42.3384986666667,-71.0902051666667,327811.022775359,4689476.31575264,19,T
38,58464,123301464,42.3385343333333,-71.0902078333333,327810.900443337,4689480.28166541,19,T
39,58465,123362465,42.3385685,-71.0902221666667,327809.812889948,4689484.10464046,19,T
40,58466,123220466,42.3386118333333,-71.0902318333333,327809.134809963,4689488.93605407,19,T
41,58467,125385467,42.3386561666667,-71.0902461666667,327808.07501039,4689493.8879607,19,T
42,58468,123946468,42.3386975,-71.0902643333333,327806.691225318,4689498.51450328,19,T
43,58469,123179469,42.3387408333333,-71.0902815,327805.395283761,4689503.36110591,19,T
