Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
1,58426,988389426,-0.00463014537061069,-0.002671059294644,0.0281884386156726,0.999588334828144,1.004,0.105,-9.522,0.008799,0.002722,0.002501,0.00002264,-0.00000009,0.00004494,-0.539,-0.291,3.232
2,58427,13339427,-0.00454484296775019,-0.00260718107043583,0.0281104501958476,0.999591091196321,1.054,0.166,-9.502,0.008634,0.004634,0.003419,0.00002289,-0.00000035,0.00004411,-0.529,-0.284,3.223
3,58427,38302427,-0.00447673247782961,-0.00254423518820836,0.028128360130667,0.999591056927776,1.048,0.205,-9.526,0.004983,0.010139,0.004153,0.00002301,-0.00000048,0.00004355,-0.521,-0.277,3.225
4,58427,63327427,-0.00440844350863599,-0.00248989452802815,0.028120052432693,0.999591731009342,1.029,0.07,-9.535,0.00328,0.001578,0.004161,0.00002277,0.00000004,0.00004438,-0.513,-0.271,3.224
5,58427,88254427,-0.00436603463385028,-0.00244509025566502,0.028129080363303,0.999591773732223,1.042,0.02,-9.519,0.004081,0.00262,0.003305,0.00002251,-0.00000124,0.00004509,-0.508,-0.266,3.225
6,58427,113179427,-0.00433274142522998,-0.00239154302143611,0.0280770607203851,0.999593510650716,1.029,-0.027,-9.565,0.002647,0.000466,0.003095,0.00002288,-0.00000137,0.0000444,-0.504,-0.26,3.219
7,58427,138172427,-0.00433372219330437,-0.00235665064366929,0.0280772163935104,0.999593584898026,1.021,0.111,-9.553,-0.001447,-0.002883,0.004242,0.00002313,-0.00000035,0.00004327,-0.504,-0.256,3.219
8,58427,163319427,-0.00435196675357171,-0.00232259011509723,0.0281558393154978,0.999591373848821,0.966,0.162,-9.506,-0.001728,-0.0002,0.003068,0.00002264,-0.00000086,0.00004495,-0.506,-0.252,3.228
9,58427,188134427,-0.0043880287578568,-0.00228007244388015,0.0281821242455884,0.999590573358051,0.966,0.081,-9.604,-0.001285,0.004797,0.000787,0.00002277,0.00000029,0.00004495,-0.51,-0.247,3.231
10,58427,213139427,-0.00443301131820849,-0.00223741598915624,0.0281211618153558,0.999592188164003,0.991,0.085,-9.611,-0.000881,-0.000821,0.00118,0.00002288,-0.00000061,0.0000434,-0.515,-0.242,3.224
11,58427,238167427,-0.00446058076684073,-0.00219418646150347,0.0280427950851901,0.999594362933687,1.064,0.01,-9.621,0.000265,0.00433,0.001553,0.00002289,-0.00000022,0.00004382,-0.518,-0.237,3.215
12,58427,263205427,-0.00448731438514222,-0.00216910375584978,0.0281213659888276,0.999592090691712,1.025,0.124,-9.609,-0.000669,0.001652,0.001376,0.00002289,0.00000016,0.00004339,-0.521,-0.234,3.224
13,58427,288201427,-0.00450568693687945,-0.00213482019869475,0.0281476586153309,0.999591341820457,0.999,0.16,-9.572,0.0005,0.002118,0.002872,0.00002276,-0.00000073,0.00004496,-0.523,-0.23,3.227
14,58427,313235427,-0.00450776140055724,-0.00206479956620233,0.0280956424683627,0.999592942934371,1.02,0.197,-9.61,-0.001438,0.003459,0.002684,0.00002277,0.00000003,0.00004339,-0.523,-0.222,3.221
15,58427,338217427,-0.004483396843861,-0.00200280676117626,0.0280523613728277,0.999594394211585,0.972,0.233,-9.605,0.000215,0.006836,0.001017,0.00002313,-0.0000001,0.00004298,-0.52,-0.215,3.216
